Year,Company,Industry,Country,Company_Type,Employee_Size,Revenue_USD,Uses_AI,Use_Case,AI_ROI_Percent,AI_Maturity_Score
2023,SyntheticCorp_0078,Finance,Germany,Synthetic,SME,45130674.65,Yes,Recommendation Systems,14.03,66
2024,SyntheticCorp_0078,Technology,Brazil,Synthetic,SME,16188148.36,No,None,0.0,2
2025,SyntheticCorp_0078,Retail,India,Synthetic,SME,8671718.41,Yes,Medical Imaging AI,17.92,83
2020,SyntheticCorp_0079,Finance,UAE,Synthetic,Enterprise,40263400636.75,No,None,0.0,33
2021,SyntheticCorp_0079,Logistics,Germany,Synthetic,SME,18571834.97,Yes,Customer Segmentation,25.42,80
2022,SyntheticCorp_0079,Retail,China,Synthetic,SME,4814397.76,Yes,Chatbots,17.46,48
2023,SyntheticCorp_0079,Telecom,USA,Synthetic,SME,15483826.38,Yes,Supply Chain Optimization,36.73,76
2024,SyntheticCorp_0079,Technology,UAE,Synthetic,Enterprise,37965936818.92,Yes,Demand Forecasting,23.0,78
2025,SyntheticCorp_0079,Healthcare,Germany,Synthetic,SME,45204435.85,Yes,Recommendation Systems,35.98,42
2020,SyntheticCorp_0080,Manufacturing,Brazil,Synthetic,Enterprise,12607367072.14,No,None,0.0,36
2021,SyntheticCorp_0080,Technology,China,Synthetic,SME,47858046.58,No,None,0.0,19
2022,SyntheticCorp_0080,E-commerce,China,Synthetic,Enterprise,19490743239.56,No,None,0.0,31
2023,SyntheticCorp_0080,Healthcare,UK,Synthetic,Enterprise,14560477210.87,Yes,Chatbots,14.32,43
2024,SyntheticCorp_0080,Telecom,Japan,Synthetic,SME,13404204.38,Yes,Demand Forecasting,35.6,53
2025,SyntheticCorp_0080,Finance,India,Synthetic,Enterprise,29641640241.88,Yes,Robotics,28.16,69
2020,SyntheticCorp_0081,Retail,UAE,Synthetic,SME,11455529.12,Yes,Fraud Detection,36.07,49
2021,SyntheticCorp_0081,Energy,Germany,Synthetic,SME,37540249.58,No,None,0.0,25
2022,SyntheticCorp_0081,Energy,UK,Synthetic,SME,32136155.42,Yes,Generative AI,36.38,44
2023,SyntheticCorp_0081,Technology,Brazil,Synthetic,SME,37460953.23,Yes,Demand Forecasting,18.72,53
2024,SyntheticCorp_0081,Manufacturing,India,Synthetic,SME,8898341.38,Yes,Supply Chain Optimization,35.92,84
2025,SyntheticCorp_0081,Technology,Canada,Synthetic,SME,12003593.51,Yes,Demand Forecasting,22.63,57
2020,SyntheticCorp_0082,Retail,USA,Synthetic,SME,34674153.01,Yes,AI Trading,15.03,67
2021,SyntheticCorp_0082,Retail,UK,Synthetic,SME,6109883.42,No,None,0.0,31
2022,SyntheticCorp_0082,Finance,Japan,Synthetic,SME,29683293.65,Yes,Supply Chain Optimization,18.74,54
2023,SyntheticCorp_0082,E-commerce,India,Synthetic,Enterprise,49324127264.94,Yes,Predictive Maintenance,12.16,48
2024,SyntheticCorp_0082,Healthcare,USA,Synthetic,SME,37784746.27,Yes,Predictive Maintenance,11.94,73
2025,SyntheticCorp_0082,Technology,Canada,Synthetic,Enterprise,26570816970.74,Yes,Robotics,18.35,83
2020,SyntheticCorp_0083,Energy,China,Synthetic,SME,30140867.88,Yes,Generative AI,38.09,82
2021,SyntheticCorp_0083,Energy,UK,Synthetic,Enterprise,25310507383.99,Yes,Generative AI,33.4,84
2022,SyntheticCorp_0083,Logistics,India,Synthetic,Enterprise,1914517118.52,Yes,Generative AI,17.65,44
2023,SyntheticCorp_0083,Healthcare,Germany,Synthetic,SME,3638768.15,Yes,Medical Imaging AI,28.5,66
2024,SyntheticCorp_0083,Telecom,China,Synthetic,SME,15098476.2,Yes,Generative AI,38.06,50
2025,SyntheticCorp_0083,Logistics,Japan,Synthetic,SME,45052781.46,Yes,Robotics,16.96,83
2020,SyntheticCorp_0084,Manufacturing,Germany,Synthetic,SME,33307622.6,Yes,Autonomous Driving,20.31,63
2021,SyntheticCorp_0084,Energy,Canada,Synthetic,SME,38027384.73,Yes,Supply Chain Optimization,17.09,54
2022,SyntheticCorp_0084,Energy,USA,Synthetic,Enterprise,30072932474.59,Yes,Autonomous Driving,34.17,72
2023,SyntheticCorp_0084,Energy,India,Synthetic,SME,22484126.62,No,None,0.0,31
2024,SyntheticCorp_0084,Telecom,Germany,Synthetic,SME,41076876.48,No,None,0.0,26
2025,SyntheticCorp_0084,E-commerce,UK,Synthetic,Enterprise,27843371833.91,Yes,Autonomous Driving,13.28,66
2020,SyntheticCorp_0085,Telecom,Germany,Synthetic,SME,19967257.03,Yes,Customer Segmentation,30.2,50
2021,SyntheticCorp_0085,Energy,USA,Synthetic,SME,46350555.19,Yes,Recommendation Systems,27.58,68
2022,SyntheticCorp_0085,Energy,Japan,Synthetic,Enterprise,36963359019.95,No,None,0.0,38
2023,SyntheticCorp_0085,Logistics,USA,Synthetic,SME,7929479.37,Yes,Fraud Detection,37.89,75
2024,SyntheticCorp_0085,Manufacturing,India,Synthetic,SME,19193413.74,Yes,Autonomous Driving,12.2,40
2025,SyntheticCorp_0085,Energy,Canada,Synthetic,SME,8477538.16,Yes,Recommendation Systems,19.33,48
2020,SyntheticCorp_0086,Manufacturing,UK,Synthetic,Enterprise,24564908006.56,Yes,Chatbots,18.19,82
2021,SyntheticCorp_0086,Energy,UK,Synthetic,Enterprise,10310107740.15,Yes,Predictive Maintenance,39.34,84
2022,SyntheticCorp_0086,Healthcare,Brazil,Synthetic,Enterprise,23963304484.16,No,None,0.0,23
2023,SyntheticCorp_0086,Telecom,Brazil,Synthetic,SME,10076115.56,Yes,Generative AI,26.33,83
2024,SyntheticCorp_0086,Technology,Japan,Synthetic,Enterprise,229307666.15,Yes,Medical Imaging AI,12.01,77
2025,SyntheticCorp_0086,Energy,India,Synthetic,SME,21371062.32,Yes,Recommendation Systems,23.07,71
2020,SyntheticCorp_0087,Telecom,China,Synthetic,SME,20791660.9,No,None,0.0,27
2021,SyntheticCorp_0087,Telecom,China,Synthetic,Enterprise,3610151864.68,Yes,Demand Forecasting,13.53,43
2022,SyntheticCorp_0087,Finance,USA,Synthetic,SME,38685717.92,Yes,Supply Chain Optimization,13.32,51
2023,SyntheticCorp_0087,Energy,UK,Synthetic,SME,10171281.86,No,None,0.0,37
2024,SyntheticCorp_0087,Logistics,UAE,Synthetic,Enterprise,23512597615.19,Yes,Fraud Detection,15.82,55
2025,SyntheticCorp_0087,Retail,China,Synthetic,SME,48887123.41,Yes,Predictive Maintenance,37.77,85
2020,SyntheticCorp_0088,Manufacturing,China,Synthetic,Enterprise,11282622260.22,Yes,Chatbots,33.63,47
2021,SyntheticCorp_0088,Telecom,Japan,Synthetic,Enterprise,14403855250.89,Yes,Predictive Maintenance,35.07,56
2022,SyntheticCorp_0088,E-commerce,UAE,Synthetic,SME,29699154.38,Yes,Fraud Detection,12.81,71
2023,SyntheticCorp_0088,Energy,UAE,Synthetic,SME,6189734.02,No,None,0.0,9
2024,SyntheticCorp_0088,Telecom,India,Synthetic,SME,17385627.86,Yes,Chatbots,18.37,53
2025,SyntheticCorp_0088,Manufacturing,China,Synthetic,SME,16424866.37,No,None,0.0,3
2020,SyntheticCorp_0089,E-commerce,USA,Synthetic,SME,44818838.54,Yes,Robotics,14.18,84
2021,SyntheticCorp_0089,Healthcare,UK,Synthetic,SME,9230342.91,Yes,AI Trading,13.01,54
2022,SyntheticCorp_0089,E-commerce,China,Synthetic,SME,24743206.92,Yes,Generative AI,35.46,80
2023,SyntheticCorp_0089,Manufacturing,USA,Synthetic,Enterprise,17353648923.54,Yes,Predictive Maintenance,38.16,58
2024,SyntheticCorp_0089,Logistics,UK,Synthetic,SME,15414092.24,Yes,Recommendation Systems,15.07,65
2025,SyntheticCorp_0089,Manufacturing,China,Synthetic,Enterprise,13547012089.99,Yes,Fraud Detection,17.61,82
2020,SyntheticCorp_0090,Finance,Brazil,Synthetic,SME,28267963.91,No,None,0.0,23
2021,SyntheticCorp_0090,Logistics,China,Synthetic,Enterprise,47342339779.72,No,None,0.0,21
2022,SyntheticCorp_0090,Technology,UK,Synthetic,SME,32290938.93,No,None,0.0,16
2023,SyntheticCorp_0090,Manufacturing,India,Synthetic,SME,32640659.71,Yes,Robotics,22.24,65
2024,SyntheticCorp_0090,E-commerce,Japan,Synthetic,Enterprise,4279422727.96,Yes,AI Trading,26.96,68
2025,SyntheticCorp_0090,Finance,UK,Synthetic,Enterprise,14863923274.74,Yes,Recommendation Systems,24.75,48
2020,SyntheticCorp_0091,Telecom,Japan,Synthetic,SME,35797352.89,Yes,Medical Imaging AI,33.24,84
2021,SyntheticCorp_0091,E-commerce,Brazil,Synthetic,Enterprise,11071229183.36,Yes,Supply Chain Optimization,33.11,72
2022,SyntheticCorp_0091,Logistics,China,Synthetic,Enterprise,9444827369.98,Yes,AI Trading,11.33,74
2023,SyntheticCorp_0091,Manufacturing,USA,Synthetic,Enterprise,11279999952.63,Yes,Robotics,16.4,43
2024,SyntheticCorp_0091,Retail,Brazil,Synthetic,SME,33006473.45,Yes,Customer Segmentation,28.76,59
2025,SyntheticCorp_0091,Logistics,USA,Synthetic,SME,40949311.75,Yes,Fraud Detection,33.56,58
2020,SyntheticCorp_0092,Technology,India,Synthetic,SME,48769923.56,Yes,Chatbots,25.53,60
2021,SyntheticCorp_0092,Healthcare,Canada,Synthetic,Enterprise,25984238330.5,Yes,Chatbots,21.7,76
2022,SyntheticCorp_0092,Technology,Canada,Synthetic,SME,43449889.86,Yes,Robotics,32.7,69
2023,SyntheticCorp_0092,Logistics,Germany,Synthetic,Enterprise,32173892644.09,Yes,Medical Imaging AI,26.43,61
2024,SyntheticCorp_0092,Healthcare,Canada,Synthetic,SME,5932349.08,Yes,Demand Forecasting,18.79,55
2025,SyntheticCorp_0092,Logistics,Germany,Synthetic,Enterprise,48566153560.09,Yes,Generative AI,28.61,80
2020,SyntheticCorp_0093,Healthcare,USA,Synthetic,Enterprise,8837316045.72,Yes,Demand Forecasting,28.68,79
2021,SyntheticCorp_0093,Finance,Canada,Synthetic,Enterprise,379047494.24,No,None,0.0,35
2022,SyntheticCorp_0093,Healthcare,UAE,Synthetic,Enterprise,27811619300.44,Yes,Recommendation Systems,34.69,40
2023,SyntheticCorp_0093,Energy,UAE,Synthetic,SME,24518925.71,Yes,Chatbots,16.52,43
2024,SyntheticCorp_0093,Energy,Brazil,Synthetic,SME,27057669.04,Yes,Generative AI,23.43,78
2025,SyntheticCorp_0093,Finance,Brazil,Synthetic,Enterprise,42587063843.79,Yes,AI Trading,19.75,53
2020,SyntheticCorp_0094,Finance,UK,Synthetic,Enterprise,41691625424.36,Yes,Predictive Maintenance,27.77,63
2021,SyntheticCorp_0094,Healthcare,Brazil,Synthetic,SME,3430298.28,Yes,Fraud Detection,24.55,60
2022,SyntheticCorp_0094,Finance,India,Synthetic,SME,41137310.96,Yes,Robotics,13.89,47
2023,SyntheticCorp_0094,Finance,Canada,Synthetic,Enterprise,10249776390.54,Yes,Autonomous Driving,32.29,76
2024,SyntheticCorp_0094,E-commerce,China,Synthetic,Enterprise,18349239840.47,Yes,Demand Forecasting,38.42,56
2025,SyntheticCorp_0094,Manufacturing,Japan,Synthetic,SME,49802941.21,Yes,Chatbots,29.69,59
2020,SyntheticCorp_0095,Telecom,Brazil,Synthetic,Enterprise,31773233467.17,No,None,0.0,6
2021,SyntheticCorp_0095,Energy,Germany,Synthetic,SME,48540607.51,Yes,Autonomous Driving,13.98,46
2022,SyntheticCorp_0095,Logistics,UK,Synthetic,SME,7180289.16,Yes,Fraud Detection,33.26,58
2023,SyntheticCorp_0095,E-commerce,Japan,Synthetic,SME,17797240.29,Yes,Chatbots,39.17,42
2024,SyntheticCorp_0095,Logistics,Canada,Synthetic,SME,16402688.27,No,None,0.0,25
2025,SyntheticCorp_0095,Manufacturing,UK,Synthetic,Enterprise,15620632910.88,Yes,Supply Chain Optimization,14.62,75
2020,SyntheticCorp_0096,Healthcare,UAE,Synthetic,SME,40191645.46,Yes,Demand Forecasting,35.7,68
2021,SyntheticCorp_0096,Technology,Germany,Synthetic,SME,14814879.01,Yes,Fraud Detection,23.61,54
2022,SyntheticCorp_0096,Retail,Canada,Synthetic,Enterprise,18470127871.91,Yes,Demand Forecasting,39.6,70
2023,SyntheticCorp_0096,Manufacturing,Germany,Synthetic,SME,7957461.26,Yes,Fraud Detection,21.26,45
2024,SyntheticCorp_0096,Technology,Germany,Synthetic,SME,18972967.45,Yes,Medical Imaging AI,12.44,73
2025,SyntheticCorp_0096,Finance,China,Synthetic,Enterprise,43789233033.11,Yes,Autonomous Driving,10.45,67
2020,SyntheticCorp_0097,Energy,Canada,Synthetic,SME,24731049.38,Yes,Demand Forecasting,27.6,78
2021,SyntheticCorp_0097,Technology,UAE,Synthetic,SME,28928557.31,Yes,Demand Forecasting,11.45,80
2022,SyntheticCorp_0097,Retail,USA,Synthetic,SME,46345187.46,Yes,Supply Chain Optimization,27.98,54
2023,SyntheticCorp_0097,Retail,Canada,Synthetic,SME,17532801.45,No,None,0.0,15
2024,SyntheticCorp_0097,Finance,China,Synthetic,Enterprise,448495410.56,Yes,Medical Imaging AI,20.87,64
2025,SyntheticCorp_0097,Logistics,USA,Synthetic,SME,7259666.93,Yes,Generative AI,11.95,63
2020,SyntheticCorp_0098,Healthcare,UK,Synthetic,SME,43456493.52,Yes,Customer Segmentation,25.67,66
2021,SyntheticCorp_0098,Energy,China,Synthetic,SME,28777961.79,Yes,Predictive Maintenance,39.88,71
2022,SyntheticCorp_0098,Healthcare,India,Synthetic,Enterprise,6504385312.19,Yes,Predictive Maintenance,22.09,52
2023,SyntheticCorp_0098,Finance,Germany,Synthetic,SME,28387150.91,Yes,Medical Imaging AI,29.63,75
2024,SyntheticCorp_0098,Technology,China,Synthetic,SME,34258576.5,No,None,0.0,26
2025,SyntheticCorp_0098,Finance,Brazil,Synthetic,Enterprise,48457797751.67,Yes,Recommendation Systems,39.15,56
2020,SyntheticCorp_0099,Retail,Canada,Synthetic,SME,35520859.39,Yes,AI Trading,24.02,84
2021,SyntheticCorp_0099,Logistics,USA,Synthetic,Enterprise,1483539155.39,Yes,Robotics,31.35,40
2022,SyntheticCorp_0099,Healthcare,Germany,Synthetic,SME,40012337.42,Yes,Robotics,34.44,69
2023,SyntheticCorp_0099,Healthcare,UAE,Synthetic,Enterprise,43113600059.85,Yes,Robotics,26.86,81
2024,SyntheticCorp_0099,E-commerce,UAE,Synthetic,SME,26841441.64,Yes,Customer Segmentation,37.5,81
2025,SyntheticCorp_0099,Retail,Japan,Synthetic,Enterprise,16529176294.85,Yes,Fraud Detection,24.24,49
2020,SyntheticCorp_0100,Manufacturing,Brazil,Synthetic,SME,31980811.42,Yes,Demand Forecasting,29.79,47
2021,SyntheticCorp_0100,E-commerce,India,Synthetic,Enterprise,7669194859.4,Yes,Chatbots,21.27,46
2022,SyntheticCorp_0100,Finance,India,Synthetic,Enterprise,22351643956.7,Yes,Generative AI,14.03,63
2023,SyntheticCorp_0100,Telecom,USA,Synthetic,Enterprise,40370295192.75,Yes,Fraud Detection,21.51,64
2024,SyntheticCorp_0100,Telecom,UAE,Synthetic,SME,18222428.66,Yes,Customer Segmentation,31.8,43
2025,SyntheticCorp_0100,E-commerce,Canada,Synthetic,SME,17404555.3,No,None,0.0,32
2020,SyntheticCorp_0101,Retail,UK,Synthetic,Enterprise,32166701429.35,Yes,Medical Imaging AI,15.05,50
2021,SyntheticCorp_0101,Energy,UK,Synthetic,Enterprise,40549103505.6,Yes,Generative AI,10.46,85
2022,SyntheticCorp_0101,Logistics,USA,Synthetic,Enterprise,9303472238.8,No,None,0.0,37
2023,SyntheticCorp_0101,Energy,China,Synthetic,Enterprise,2143352409.08,Yes,AI Trading,13.17,40
2024,SyntheticCorp_0101,Healthcare,UAE,Synthetic,Enterprise,15424044609.12,Yes,Supply Chain Optimization,25.74,72
2025,SyntheticCorp_0101,Healthcare,Japan,Synthetic,SME,44692936.54,Yes,Robotics,32.3,67
2020,SyntheticCorp_0102,Manufacturing,Germany,Synthetic,SME,36997121.3,No,None,0.0,31
2021,SyntheticCorp_0102,Finance,Brazil,Synthetic,SME,10428246.91,No,None,0.0,29
2022,SyntheticCorp_0102,Retail,USA,Synthetic,Enterprise,42057560304.19,Yes,Fraud Detection,31.91,71
2023,SyntheticCorp_0102,Retail,Brazil,Synthetic,SME,2118714.79,No,None,0.0,40
2024,SyntheticCorp_0102,E-commerce,USA,Synthetic,SME,24473694.23,Yes,Medical Imaging AI,39.19,59
2025,SyntheticCorp_0102,Telecom,Brazil,Synthetic,Enterprise,14894946340.86,No,None,0.0,19
2020,SyntheticCorp_0103,Retail,Germany,Synthetic,SME,4818464.84,No,None,0.0,5
2021,SyntheticCorp_0103,Logistics,Germany,Synthetic,SME,16993208.61,Yes,Fraud Detection,28.88,77
2022,SyntheticCorp_0103,Energy,Canada,Synthetic,SME,1729837.02,Yes,Fraud Detection,18.32,48
2023,SyntheticCorp_0103,Finance,Canada,Synthetic,SME,34060903.7,No,None,0.0,13
2024,SyntheticCorp_0103,Manufacturing,UK,Synthetic,Enterprise,2555393621.4,Yes,Medical Imaging AI,19.12,73
2025,SyntheticCorp_0103,Logistics,USA,Synthetic,Enterprise,46783319504.36,Yes,Autonomous Driving,31.85,57
2020,SyntheticCorp_0104,Healthcare,Brazil,Synthetic,SME,33213475.41,No,None,0.0,35
2021,SyntheticCorp_0104,Energy,Canada,Synthetic,Enterprise,40576340876.54,Yes,Medical Imaging AI,34.02,53
2022,SyntheticCorp_0104,Telecom,Brazil,Synthetic,SME,49947869.33,No,None,0.0,18
2023,SyntheticCorp_0104,Energy,Brazil,Synthetic,SME,23384893.22,No,None,0.0,32
2024,SyntheticCorp_0104,Finance,Japan,Synthetic,SME,20951404.18,Yes,Fraud Detection,15.64,64
2025,SyntheticCorp_0104,Logistics,UK,Synthetic,Enterprise,865602610.34,No,None,0.0,0
2020,SyntheticCorp_0105,Retail,USA,Synthetic,SME,36953171.26,Yes,Demand Forecasting,26.2,65
2021,SyntheticCorp_0105,Technology,China,Synthetic,SME,4380041.2,Yes,Medical Imaging AI,34.18,81
2022,SyntheticCorp_0105,Telecom,Japan,Synthetic,Enterprise,4734751657.25,Yes,AI Trading,31.46,61
2023,SyntheticCorp_0105,E-commerce,China,Synthetic,SME,26097916.19,Yes,Robotics,33.25,40
2024,SyntheticCorp_0105,Technology,USA,Synthetic,Enterprise,16018720216.98,Yes,Chatbots,20.18,52
2025,SyntheticCorp_0105,Energy,UK,Synthetic,Enterprise,34205220896.19,Yes,Generative AI,32.91,61
2020,SyntheticCorp_0106,Logistics,Brazil,Synthetic,Enterprise,3992858605.2,Yes,Chatbots,35.53,73
2021,SyntheticCorp_0106,Telecom,Brazil,Synthetic,Enterprise,15015856361.54,Yes,AI Trading,18.47,47
2022,SyntheticCorp_0106,Technology,USA,Synthetic,Enterprise,26189609435.59,Yes,Fraud Detection,34.32,81
2023,SyntheticCorp_0106,Telecom,Brazil,Synthetic,SME,41362195.87,Yes,Customer Segmentation,16.24,40
2024,SyntheticCorp_0106,Retail,UAE,Synthetic,SME,33257870.59,Yes,Autonomous Driving,34.38,70
2025,SyntheticCorp_0106,Healthcare,Canada,Synthetic,SME,14465803.17,Yes,Predictive Maintenance,39.84,48
2020,SyntheticCorp_0107,Energy,UAE,Synthetic,SME,24822839.44,Yes,Autonomous Driving,14.78,45
2021,SyntheticCorp_0107,Telecom,UAE,Synthetic,SME,24198350.49,No,None,0.0,25
2022,SyntheticCorp_0107,Finance,Germany,Synthetic,SME,45040741.81,Yes,Fraud Detection,38.24,40
2023,SyntheticCorp_0107,Logistics,Brazil,Synthetic,Enterprise,47383909898.42,Yes,Medical Imaging AI,10.76,74
2024,SyntheticCorp_0107,Logistics,Germany,Synthetic,SME,17445081.2,No,None,0.0,6
2025,SyntheticCorp_0107,Logistics,UAE,Synthetic,SME,36910664.58,Yes,Customer Segmentation,21.78,75
2020,SyntheticCorp_0108,Retail,Canada,Synthetic,SME,5646019.06,Yes,Robotics,31.02,44
2021,SyntheticCorp_0108,Technology,Germany,Synthetic,SME,44270937.22,Yes,Fraud Detection,33.11,61
2022,SyntheticCorp_0108,Healthcare,India,Synthetic,Enterprise,6761719621.15,Yes,Generative AI,31.21,67
2023,SyntheticCorp_0108,Technology,China,Synthetic,SME,32528782.1,No,None,0.0,31
2024,SyntheticCorp_0108,Healthcare,India,Synthetic,SME,40668150.66,Yes,Predictive Maintenance,36.82,41
2025,SyntheticCorp_0108,Energy,India,Synthetic,SME,25051326.03,Yes,Predictive Maintenance,13.14,75
2020,SyntheticCorp_0109,Technology,Brazil,Synthetic,Enterprise,32180100069.76,Yes,AI Trading,29.02,57
2021,SyntheticCorp_0109,Retail,Germany,Synthetic,SME,25057280.71,Yes,Chatbots,23.12,49
2022,SyntheticCorp_0109,Manufacturing,UAE,Synthetic,SME,13647571.95,Yes,Recommendation Systems,27.02,41
2023,SyntheticCorp_0109,Telecom,Canada,Synthetic,SME,49835590.9,Yes,Generative AI,23.65,53
2024,SyntheticCorp_0109,Healthcare,UAE,Synthetic,SME,24076499.55,Yes,Supply Chain Optimization,25.32,46
2025,SyntheticCorp_0109,Manufacturing,Canada,Synthetic,Enterprise,5167338241.89,Yes,Customer Segmentation,25.53,49
2020,SyntheticCorp_0110,Healthcare,Canada,Synthetic,SME,13067853.11,Yes,Chatbots,23.32,44
2021,SyntheticCorp_0110,Manufacturing,Japan,Synthetic,SME,11924681.65,Yes,Chatbots,21.94,73
2022,SyntheticCorp_0110,Retail,UAE,Synthetic,Enterprise,12356026777.76,Yes,Medical Imaging AI,13.76,78
2023,SyntheticCorp_0110,Technology,UK,Synthetic,Enterprise,32050735080.73,Yes,AI Trading,22.35,57
2024,SyntheticCorp_0110,Manufacturing,China,Synthetic,SME,41276204.45,Yes,Generative AI,15.94,58
2025,SyntheticCorp_0110,Retail,China,Synthetic,SME,33564509.55,No,None,0.0,24
2020,SyntheticCorp_0111,Logistics,UAE,Synthetic,SME,25906883.41,Yes,Autonomous Driving,32.65,44
2021,SyntheticCorp_0111,Logistics,Canada,Synthetic,Enterprise,20204540910.45,Yes,Medical Imaging AI,25.22,77
2022,SyntheticCorp_0111,Finance,UAE,Synthetic,Enterprise,12107853729.43,No,None,0.0,10
2023,SyntheticCorp_0111,Retail,China,Synthetic,Enterprise,22809209132.62,No,None,0.0,28
2024,SyntheticCorp_0111,Logistics,Germany,Synthetic,SME,33821114.75,No,None,0.0,20
2025,SyntheticCorp_0111,Telecom,Japan,Synthetic,SME,2061543.44,No,None,0.0,31
2020,SyntheticCorp_0112,Telecom,UAE,Synthetic,Enterprise,11873587326.15,Yes,Supply Chain Optimization,32.16,74
2021,SyntheticCorp_0112,Logistics,USA,Synthetic,Enterprise,5238326004.42,Yes,Robotics,30.1,64
2022,SyntheticCorp_0112,Technology,Germany,Synthetic,SME,10261657.92,No,None,0.0,32
2023,SyntheticCorp_0112,Energy,Japan,Synthetic,Enterprise,23016348553.27,Yes,Chatbots,33.69,82
2024,SyntheticCorp_0112,E-commerce,USA,Synthetic,SME,40879907.17,Yes,AI Trading,16.02,43
2025,SyntheticCorp_0112,Technology,USA,Synthetic,SME,16680926.59,Yes,AI Trading,28.02,53
2020,SyntheticCorp_0113,Healthcare,Brazil,Synthetic,Enterprise,35527947955.01,No,None,0.0,13
2021,SyntheticCorp_0113,Energy,UAE,Synthetic,Enterprise,38831994540.88,Yes,Supply Chain Optimization,17.78,49
2022,SyntheticCorp_0113,Healthcare,India,Synthetic,SME,11971263.78,Yes,Recommendation Systems,18.35,70
2023,SyntheticCorp_0113,Retail,USA,Synthetic,SME,2476705.87,Yes,Robotics,32.84,61
2024,SyntheticCorp_0113,Logistics,China,Synthetic,Enterprise,30271255679.42,Yes,Autonomous Driving,13.85,58
2025,SyntheticCorp_0113,E-commerce,India,Synthetic,SME,7572400.5,Yes,AI Trading,31.98,66
2020,SyntheticCorp_0114,E-commerce,Canada,Synthetic,Enterprise,28719159484.48,Yes,Recommendation Systems,31.58,66
2021,SyntheticCorp_0114,Finance,USA,Synthetic,SME,44371185.62,Yes,Autonomous Driving,18.79,61
2022,SyntheticCorp_0114,Energy,USA,Synthetic,SME,26370974.9,Yes,Chatbots,33.41,64
2023,SyntheticCorp_0114,Logistics,Brazil,Synthetic,Enterprise,24451892733.9,Yes,Robotics,38.63,82
2024,SyntheticCorp_0114,Telecom,UAE,Synthetic,SME,41385872.24,Yes,Generative AI,35.3,40
2025,SyntheticCorp_0114,Healthcare,USA,Synthetic,Enterprise,40571243189.95,Yes,AI Trading,34.82,63
2020,SyntheticCorp_0115,E-commerce,Germany,Synthetic,Enterprise,1835484238.91,Yes,Autonomous Driving,12.84,58
2021,SyntheticCorp_0115,Logistics,Brazil,Synthetic,Enterprise,42736006446.25,Yes,Medical Imaging AI,34.52,52
2022,SyntheticCorp_0115,Telecom,Brazil,Synthetic,Enterprise,20756230112.72,Yes,AI Trading,30.85,71
2023,SyntheticCorp_0115,Telecom,UK,Synthetic,SME,37389990.4,Yes,Supply Chain Optimization,22.7,81
2024,SyntheticCorp_0115,E-commerce,Germany,Synthetic,SME,22719349.75,Yes,Robotics,34.57,59
2025,SyntheticCorp_0115,Retail,USA,Synthetic,SME,49656177.75,Yes,Autonomous Driving,27.43,84
2020,SyntheticCorp_0116,Telecom,UAE,Synthetic,Enterprise,30755690369.27,Yes,Demand Forecasting,19.73,74
2021,SyntheticCorp_0116,Energy,USA,Synthetic,SME,39645065.55,Yes,Medical Imaging AI,39.93,80
2022,SyntheticCorp_0116,Technology,USA,Synthetic,Enterprise,29780981625.8,Yes,AI Trading,27.03,62
2023,SyntheticCorp_0116,Energy,Germany,Synthetic,SME,38200710.2,Yes,Robotics,33.55,68
2024,SyntheticCorp_0116,Manufacturing,India,Synthetic,Enterprise,16129161144.87,Yes,Predictive Maintenance,28.01,61
2025,SyntheticCorp_0116,Technology,UK,Synthetic,Enterprise,40281627349.82,Yes,Supply Chain Optimization,20.46,68
2020,SyntheticCorp_0117,Energy,UK,Synthetic,Enterprise,2048714492.85,Yes,Fraud Detection,25.9,49
2021,SyntheticCorp_0117,Manufacturing,Japan,Synthetic,SME,40469403.58,Yes,Autonomous Driving,21.21,63
2022,SyntheticCorp_0117,E-commerce,Japan,Synthetic,Enterprise,7832074459.84,Yes,Demand Forecasting,14.24,42
2023,SyntheticCorp_0117,Retail,India,Synthetic,Enterprise,18367680567.13,Yes,AI Trading,16.69,62
2024,SyntheticCorp_0117,Finance,China,Synthetic,SME,27556478.05,Yes,Supply Chain Optimization,37.75,44
2025,SyntheticCorp_0117,Technology,Canada,Synthetic,Enterprise,17587794372.33,Yes,Demand Forecasting,37.32,83
2020,SyntheticCorp_0118,Energy,Canada,Synthetic,Enterprise,45994183309.91,Yes,Generative AI,11.2,57
2021,SyntheticCorp_0118,Retail,Germany,Synthetic,SME,35645788.53,Yes,Customer Segmentation,10.62,48
2022,SyntheticCorp_0118,Healthcare,Germany,Synthetic,SME,34770362.3,Yes,Customer Segmentation,14.36,47
2023,SyntheticCorp_0118,Technology,India,Synthetic,SME,44333694.64,Yes,AI Trading,34.24,40
2024,SyntheticCorp_0118,Technology,Canada,Synthetic,SME,18391306.1,No,None,0.0,33
2025,SyntheticCorp_0118,Manufacturing,Brazil,Synthetic,Enterprise,45284677865.92,Yes,Fraud Detection,37.64,72
2020,SyntheticCorp_0119,Finance,Canada,Synthetic,SME,7961683.72,Yes,Predictive Maintenance,19.12,67
2021,SyntheticCorp_0119,Logistics,UK,Synthetic,Enterprise,367072577.79,No,None,0.0,7
2022,SyntheticCorp_0119,E-commerce,USA,Synthetic,Enterprise,6415522828.64,No,None,0.0,36
